ID	Sex	DR	Phone	Context
VRW0	M	7	iy	sh_iy_hv
VRW0	M	7	iy	sh_iy_hv
VRW0	M	7	iy	sh_iy_hv
VRW0	M	7	iy	r_iy_s
VRW0	M	7	iy	r_iy_s
VRW0	M	7	iy	r_iy_s
VRW0	M	7	iy	r_iy_s
VRW0	M	7	iy	s_iy_w
VRW0	M	7	iy	s_iy_w
VRW0	M	7	iy	s_iy_w
VRW0	M	7	iy	s_iy_w
VRW0	M	7	iy	m_iy_dx
VRW0	M	7	iy	r_iy_ix
VRW0	M	7	iy	r_iy_ix
VRW0	M	7	iy	r_iy_ix
VRW0	M	7	iy	l_iy_r
VRW0	M	7	iy	l_iy_r
VRW0	M	7	iy	l_iy_r
VRW0	M	7	iy	l_iy_r
VRW0	M	7	iy	l_iy_r
VRW0	M	7	iy	dh_iy_ih
VRW0	M	7	iy	dh_iy_ih
VRW0	M	7	iy	s_iy_dcl
VRW0	M	7	iy	s_iy_dcl
VRW0	M	7	iy	s_iy_dcl
VRW0	M	7	iy	k_iy_pcl
VRW0	M	7	iy	k_iy_pcl
VRW0	M	7	iy	k_iy_pcl
VRW0	M	7	iy	d_iy_dcl
VRW0	M	7	iy	d_iy_dcl
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	f_iy_z
VRW0	M	7	iy	r_iy_v
VRW0	M	7	iy	r_iy_v
VRW0	M	7	iy	r_iy_v
VRW0	M	7	iy	r_iy_v
VRW0	M	7	iy	r_iy_v
VRW0	M	7	iy	v_iy_ey
VRW0	M	7	iy	v_iy_ey
VRW0	M	7	iy	v_iy_ey
VRW0	M	7	iy	v_iy_ey
VRW0	M	7	iy	v_iy_ey
VRW0	M	7	iy	l_iy_aa
VRW0	M	7	iy	l_iy_aa
VRW0	M	7	iy	l_iy_aa
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	f_iy_s
VRW0	M	7	iy	k_iy_pcl
VRW0	M	7	iy	k_iy_pcl
VRW0	M	7	iy	dh_iy_ow
VRW0	M	7	iy	dh_iy_ow
VRW0	M	7	iy	dh_iy_ow
VRW0	M	7	iy	dh_iy_ow
VRW0	M	7	aa	d_aa_r
VRW0	M	7	aa	d_aa_r
VRW0	M	7	aa	d_aa_r
VRW0	M	7	aa	d_aa_r
VRW0	M	7	aa	d_aa_r
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	w_aa_sh
VRW0	M	7	aa	q_aa_r
VRW0	M	7	aa	q_aa_r
VRW0	M	7	aa	q_aa_r
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	sh_aa_pcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	iy_aa_gcl
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	m_aa_m
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	b_aa_bcl
VRW0	M	7	aa	nx_aa_r
VRW0	M	7	aa	nx_aa_r
VRW0	M	7	aa	nx_aa_r
VRW0	M	7	aa	nx_aa_r
VRW0	M	7	aa	nx_aa_r
VRW0	M	7	s	h#_sh_iy
VRW0	M	7	s	h#_sh_iy
VRW0	M	7	s	h#_sh_iy
VRW0	M	7	s	h#_sh_iy
VRW0	M	7	s	h#_sh_iy
VRW0	M	7	s	k_s_ux
VRW0	M	7	s	k_s_ux
VRW0	M	7	s	k_s_ux
VRW0	M	7	s	k_s_ux
VRW0	M	7	s	k_s_ux
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	iy_s_iy
VRW0	M	7	s	aa_sh_epi
VRW0	M	7	s	aa_sh_epi
VRW0	M	7	s	aa_sh_epi
VRW0	M	7	s	ae_s_epi
VRW0	M	7	s	ae_s_epi
VRW0	M	7	s	ae_s_epi
VRW0	M	7	s	kcl_s_iy
VRW0	M	7	s	kcl_s_iy
VRW0	M	7	s	t_s_tcl
VRW0	M	7	s	t_s_tcl
VRW0	M	7	s	en_s_q
VRW0	M	7	s	en_s_q
VRW0	M	7	s	en_s_q
VRW0	M	7	s	en_s_q
VRW0	M	7	s	en_s_q
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	l_sh_aa
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	axr_s_h#
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_sh_er
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	n_s_epi
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	iy_s_h#
VRW0	M	7	s	ow_sh_ix
VRW0	M	7	s	ow_sh_ix
VRW0	M	7	s	ow_sh_ix
VRW0	M	7	s	ow_sh_ix
VRW0	M	7	s	ow_sh_ix
VRW0	M	7	s	r_s_ux
VRW0	M	7	s	r_s_ux
VRW0	M	7	s	r_s_ux
VRW0	M	7	s	r_s_ux
VRW0	M	7	s	r_s_ux
VRW0	M	7	s	ih_sh_s
VRW0	M	7	s	ih_sh_s
VRW0	M	7	s	ih_sh_s
VRW0	M	7	s	sh_s_ae
VRW0	M	7	s	sh_s_ae
VRW0	M	7	s	sh_s_ae
VRW0	M	7	s	ih_sh_ix
VRW0	M	7	s	ih_sh_ix
