ID	Sex	DR	Phone	Context
LNH0	F	6	iy	sh_iy_hv
LNH0	F	6	iy	sh_iy_hv
LNH0	F	6	iy	r_iy_s
LNH0	F	6	iy	r_iy_s
LNH0	F	6	iy	r_iy_s
LNH0	F	6	iy	s_iy_w
LNH0	F	6	iy	s_iy_w
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	r_iy_ih
LNH0	F	6	iy	r_iy_ih
LNH0	F	6	iy	r_iy_ih
LNH0	F	6	iy	r_iy_ih
LNH0	F	6	iy	r_iy_ih
LNH0	F	6	iy	l_iy_r
LNH0	F	6	iy	l_iy_r
LNH0	F	6	iy	l_iy_r
LNH0	F	6	iy	l_iy_r
LNH0	F	6	iy	b_iy_kcl
LNH0	F	6	iy	b_iy_kcl
LNH0	F	6	iy	b_iy_axr
LNH0	F	6	iy	b_iy_axr
LNH0	F	6	iy	b_iy_axr
LNH0	F	6	iy	b_iy_axr
LNH0	F	6	iy	b_iy_axr
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	m_iy_tcl
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	er_iy_axr
LNH0	F	6	iy	m_iy_h#
LNH0	F	6	iy	m_iy_h#
LNH0	F	6	iy	m_iy_h#
LNH0	F	6	iy	p_iy_pcl
LNH0	F	6	iy	p_iy_pcl
LNH0	F	6	iy	p_iy_pcl
LNH0	F	6	iy	p_iy_pcl
LNH0	F	6	iy	b_iy_n
LNH0	F	6	iy	b_iy_n
LNH0	F	6	iy	b_iy_n
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	n_iy_dcl
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	l_iy_v
LNH0	F	6	iy	b_iy_ix
LNH0	F	6	iy	b_iy_ix
